id,claim,source,url,evidence_type,method_or_sample,applicability,limitation,counterevidence_or_failure_mode,confidence
E01,"Normal text needs 4.5:1 contrast; large text and meaningful non-text UI need 3:1.","W3C WCAG 2.2 SC 1.4.3 and 1.4.11","https://www.w3.org/TR/WCAG22/","Normative standard","Consensus standard with testable success criteria","Hard accessibility gate for copy, controls, focus, and meaningful boundaries","Conformance does not prove aesthetic quality or cognitive clarity","Decorative lines are exempt; treating every faint separator as a failure would overstate the rule","High"
E02,"Content must reflow at 320 CSS px without two-dimensional scrolling or loss, and text must survive 200% resizing.","W3C WCAG 2.2 SC 1.4.10 and 1.4.4","https://www.w3.org/TR/WCAG22/","Normative standard","320 CSS px corresponds to 1280 px at 400% zoom","Hard gate for mobile order and zoom resilience","Some genuinely two-dimensional content is exempt","Passing 320 px reflow does not by itself prove a good mobile hierarchy","High"
E03,"Pointer targets need at least 24x24 CSS px or sufficient separation; 44x44 is the enhanced target.","W3C WCAG 2.2 SC 2.5.8 and 2.5.5","https://www.w3.org/TR/WCAG22/","Normative standard","Consensus standard","Sets the minimum; Final Prime can use 44 px as its internal default","Inline links and specified exceptions apply","Large targets still fail if labels or hierarchy are unclear","High"
E04,"Aesthetic reactions to webpages can stabilise after very short exposure.","Lindgaard et al. 2006","https://doi.org/10.1080/01449290500330448","Primary experimental research","Three studies; homepage appeal ratings at 500 ms and 50 ms","Justifies a controlled first-impression stage before comprehension tasks","Measured visual appeal, not complete credibility, comprehension, or conversion","A visually strong but unclear hero can score well initially and fail the task stage","Medium-high"
E05,"Visual complexity affects first impressions earlier than prototypicality; low complexity plus high prototypicality was most appealing in the tested set.","Tuch et al. 2012","https://research.google/pubs/the-role-of-visual-complexity-and-prototypicality-regarding-first-impression-of-websites-working-towards-understanding-aesthetic-judgments/","Primary experimental research","Two studies; 119 real-site screenshots; exposures from 17 to 1000 ms","Supports reducing competing frames and preserving a recognisable homepage skeleton","The stimuli and site conventions are dated; appeal is not the same as desired brand distinctiveness","Excessive prototypicality can make Final Prime generic; distinctiveness must be added inside a clear skeleton","Medium-high"
E06,"Greater perceptual or conceptual fluency often increases aesthetic pleasure.","Reber, Schwarz and Winkielman 2004","https://doi.org/10.1207/S15327957PSPR0804_3","Theory and research review","Integrates findings on contrast, symmetry, repetition, priming, and prototypicality","Supports legible hierarchy beneath the mysterious surface","This is a broad explanatory framework rather than a homepage experiment","Too much fluency can remove curiosity and expressive character; fluency should apply to navigation, not eliminate all ambiguity","Medium"
E07,"Curiosity is triggered by a perceived information gap, but the gap must be recognisable enough to matter.","Loewenstein 1994","https://doi.org/10.1037/0033-2909.116.1.75","Theory and research review","Review and information-gap reinterpretation of curiosity research","Supports one controlled unresolved question or signal rather than unexplained jargon","Not a website-conversion study and does not define an optimal amount of mystery","If visitors cannot identify the subject or expected payoff, the gap becomes confusion rather than curiosity","Medium"
E08,"Competence and warmth are distinct, broadly recurring dimensions of social perception.","Fiske et al. 2002","https://doi.org/10.1037/0022-3514.82.6.878","Primary multi-study research","Nine varied samples evaluating social groups","Provides the two-axis test for formidable technical authority and human alignment","The original object of study was social stereotypes, not website brands","High competence with low warmth may produce distance or envy rather than trust; warmth without evidence may look amateur","Medium-high"
E09,"Users distinguish orderly classical aesthetics from creative expressive aesthetics.","Lavie and Tractinsky 2004","https://doi.org/10.1016/j.ijhcs.2003.09.002","Primary scale-development research","Multi-stage scale development and validation for website aesthetics","Maps directly to the need for a stable skeleton plus experimental expression","Aesthetic dimensions do not prescribe a particular layout or predict business outcomes","Optimising only classical order makes the site generic; optimising only expression makes it harder to parse","Medium-high"
E10,"Website aesthetics can be measured through simplicity, diversity, colorfulness, and craftsmanship.","Moshagen and Thielsch 2010","https://doi.org/10.1016/j.ijhcs.2010.05.006","Primary scale-development research","Seven studies validating the VisAWI facets","Provides a structured rubric for benchmark and prototype evaluation","Self-report aesthetics remain subjective and culturally situated","A high overall score can hide a fatal weakness in one facet or in task comprehension","High for measurement; medium for prediction"
E11,"The four-item VisAWI-S approximates overall website-aesthetic judgments and relates to revisit intention.","Moshagen and Thielsch 2013","https://doi.org/10.1080/0144929X.2012.694910","Primary scale-validation research","Three studies; total N=1673","Useful in a short 12-16 person test without exhausting participants","The local sample is far too small for population estimates","Treat scores as directional and combine them with recall and task evidence","High for instrument; low-medium for this small sample"
E12,"For identical content, higher aesthetic treatment increased perceived credibility in 19 of 21 tested page pairs.","Robins and Holmes 2008","https://doi.org/10.1016/j.ipm.2007.02.003","Primary experimental research","21 landing-page pairs with unchanged content and reduced visual treatment","Shows that visual craft is credibility infrastructure, not decoration","Researchers judged treatment level; the sites and design conventions are dated","Aesthetic polish can temporarily mask weak proof; credibility must also come from truthful work records","Medium"
E13,"Color can affect cognition and behaviour, but meanings depend on context and the literature does not support universal application recipes.","Elliot and Maier 2014","https://pubmed.ncbi.nlm.nih.gov/23808916/","Research review","Review of achievement, affiliation, attraction, consumer, and consumption contexts","Requires cyan and fuchsia to receive consistent semantic roles inside this site","Boundary conditions, moderators, and real-world generalisability remain underdeveloped","Claims such as cyan equals trust or fuchsia equals rebellion must be tested locally, not asserted as psychology","High for caution; medium for directional effects"
E14,"Curved contours were preferred over sharp contours in the original controlled object task.","Bar and Neta 2006","https://doi.org/10.1111/j.1467-9280.2006.01759.x","Primary experimental research","140 object pairs including real and meaningless forms","Supports testing a small amount of softness as a warmth cue against the sharp industrial core","Object preference is not identical to website or brand perception","Angular forms may intentionally signal distance, strength, or premiumness; wholesale rounding would contradict the brand","Medium"
E15,"Positive polarity can improve acuity and proofreading performance compared with negative polarity under tested conditions.","Piepenbrock, Mayr and Buchner 2013","https://www.psychologie.hhu.de/fileadmin/redaktion/Oeffentliche_Medien/Fakultaeten/Mathematisch-Naturwissenschaftliche_Fakultaet/Psychologie/AAP/Publikationen/2013/Piepenbrock-2013-Positive_display_polarity_is_.pdf","Primary experimental research","Younger and older adults; visual-acuity and proofreading tasks on TFT displays","Prevents claiming that dark mode is inherently more readable; long copy needs extra scrutiny","Task, lighting, age, device, and display conditions limit transfer","The dark identity can remain if copy is concise, high-contrast, well-spaced, and empirically readable","Medium"
E16,"Dark interfaces need legibility tests under multiple contrast and display conditions; custom colors should be role-consistent.","Apple Human Interface Guidelines","https://developer.apple.com/design/human-interface-guidelines/dark-mode","Official design-system guidance","Platform design guidance, not an experiment","Useful operational checklist for dark surfaces, semantic colors, typography, and increased contrast","App-platform guidance is informative rather than normative for a website","Blindly copying system colors would erase the brand; retain custom colors but test them","Medium-high"
E17,"Vertical symmetry and visual complexity strongly affect simplicity, diversity, and craftsmanship; color factors especially affect colorfulness.","Seckler et al. 2015","https://doi.org/10.1016/j.chb.2015.02.056","Primary experimental research","Five online experiments using real-site screenshots; total N=194","Supports separating structural tests from hue, saturation, and brightness tests","Screenshot judgments do not capture interaction or long-term use","Changing color cannot repair structural overload; changing structure can still harm expressive character","Medium-high"
